No,Brewery Name,Country,Untappd Rating,Specialty
1,Side Project Brewing,USA,4.41,Еталонні дикі елі та бочкові стаути
2,Fidens Brewing Co.,USA,4.38,Королі сучасних NEIPA
3,Brasserie Cantillon,Belgium,4.32,Справжні класичні гези та ламбіки
4,Westvleteren,Belgium,4.31,Рідкісне траппістське пиво (XII)
5,Toppling Goliath Brewing Co.,USA,4.29,Культові IPA (Pseudo Sue)
6,Brouwerij 3 Fonteinen,Belgium,4.26,Традиційні купажовані ламбіки
7,Other Half Brewing Co.,USA,4.22,Популярні каламутні хмелеві елі
8,Tommie Sjef,Netherlands,4.15,Дикі кислі елі природного бродіння
9,Equilibrium Brewery,USA,4.14,Науковий підхід до подвійних IPA
10,The Veil Brewing Co.,USA,4.14,Потужні фруктові сауери та IPA
11,Soma Beer,Spain,4.14,Лімітовані високооцінені хмелеві релізи
12,Prairie Artisan Ales,USA,4.12,Імперські стаути з додатками
13,Trillium Brewing Company,USA,4.11,Бостонський соковитий крафт
14,Gueuzerie Tilquin,Belgium,4.10,Фруктові бельгійські ламбіки
15,Verdant Brewing Co.,UK,4.08,Ароматні хмелеві елі з Корнуолла
16,Deya Brewing Company,UK,4.05,М'які пале елі
17,Strange Toys,USA,4.04,Експериментальні мікро-релізи
18,Cloudwater Brew Co.,UK,4.04,Манчестерський інноваційний крафт
19,Other Half (UK Selection),UK,4.02,Колаборації та хмелеві хіти
20,Founders Brewing Co.,USA,4.01,"Потужні стаути (KBS), Pale Ale"
21,Folkingebrew,Netherlands,4.01,Щільні Double IPA
22,ATELIER VRAI,Germany,4.00,Сучасний німецький мікрокрафт
23,De Struise Brouwers,Belgium,3.98,Міцні темні елі (Pannepot)
24,Stamm Brewing,Import/Contract,3.95,Соковиті хмелеві сорти
25,Sudden Death Brewing Co.,Germany,3.95,Охмелені релізи в американському стилі
26,Moersleutel Craft Brewery,Netherlands,3.94,Важкі кондитерські стаути
27,Põhjala,Estonia,3.94,Балтійські портери (Cellar Series)
28,Firestone Walker,USA,3.92,Бочкові міцні елі (Parabola)
29,Blech.Brut,Germany,3.92,Сучасні ароматні німецькі IPA
30,Omnipollo,Sweden,3.91,"Пиво-морозиво, смузі-сауери"
31,Pühaste,Estonia,3.91,Складні імперські стаути та кисляки
32,FUERST WIACEK,Germany,3.91,Берлінські каламутні елі
33,Northern Monk,UK,3.89,Серійний якісний крафт широкого спектра
34,Garage Beer Co.,Spain,3.89,Барселонські лідери NEIPA в Європі
35,Basqueland Brewing,Spain,3.88,Баскські яскраві хмелі
36,FrauGruber Brewing,Germany,3.88,Сучасний баварський крафт
37,Rochefort,Belgium,3.86,"Класичні темні траппісти (№6, 8, 10)"
38,Amundsen Brewery,Norway,3.84,Десертні стаути (Dessert In A Can)
39,Salama Brewing Co.,Finland,3.84,Скандинавський neon-крафт
40,Stone Brewing,USA,3.82,Гіркі West Coast IPA
41,Zichovec,Czech Republic,3.82,"Топовий чеський крафт (IPA, сауери)"
42,Buxton Brewery,UK,3.81,Експерименти та стаути
43,Lervig,Norway,3.81,Потужні норвезькі релізи (3-Way Stout)
44,Brouwerij St.Bernardus,Belgium,3.79,Класичні абатські елі (Abt 12)
45,Vibrant Forest Brewery,UK,3.78,Складні портери та кислі елі
46,AF Brew,Import/Contract,3.78,Насичені стаути та гозе
47,Brouwerij Het Anker,Belgium,3.73,Серія міцного пива Gouden Carolus
